Data;Czas;Kierunek;Rejs;;Lotnisko wylotowe
2025-04-15;17:40;LAMEZIA TERME (SUF);FR 5145;;"KRK"
2025-04-15;17:40;MARSYLIA (MRS);FR 5412;;"KRK"
2025-04-15;17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
2025-04-15;18:05;BELFAST (BFS);FR 9557;;"KRK"
2025-04-15;18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
2025-04-15;18:10;BOLONIA (BLQ);FR 3799;;"KRK"
2025-04-15;18:25;DUBLIN (DUB);FR 2024;;"KRK"
2025-04-15;18:25;WARSZAWA (WAW);LO 3924;;"KRK"
2025-04-15;18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
2025-04-15;18:45;ATENY (ATH);A3 869;;"KRK"
2025-04-15;18:55;HELSINKI (HEL);AY 1164;;"KRK"
2025-04-15;18:55;LYON (LYS);W6 2091;;"KRK"
2025-04-15;19:00;SZTOKHOLM ARLANDA (ARN);FR 4636;;"KRK"
2025-04-15;19:05;LONDYN STANSTED (STN);FR 2433;;"KRK"
2025-04-15;19:20;EAST MIDLANDS (EMA);FR 1725;;"KRK"
2025-04-15;19:20;FRANKFURT (FRA);LH 1369;;"KRK"
2025-04-15;19:30;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
2025-04-15;19:40;PALERMO (PMO);FR 6232;;"KRK"
2025-04-15;19:40;ZURYCH (ZRH);LX 1375;;"KRK"
2025-04-15;19:45;BARI (BRI);FR 2966;;"KRK"
2025-04-15;19:55;BOURNEMOUTH (BOH);FR 5524;;"KRK"
2025-04-15;20:15;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
2025-04-15;20:25;MEMMINGEN (FMM);FR 2174;;"KRK"
2025-04-15;20:35;SALONIKI (SKG);FR 2777;;"KRK"
2025-04-15;20:35;PIZA (PSA);FR 7932;;"KRK"
2025-04-15;20:40;LONDYN LUTON (LTN);FR 1812;;"KRK"
2025-04-15;20:50;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
2025-04-15;21:05;TRIEST (TRS);FR 6782;;"KRK"
2025-04-15;21:20;BAZYLEA (BSL);EZS 1262;;"KRK"
2025-04-15;21:30;BRISTOL (BRS);EZY 2938;;"KRK"
2025-04-15;21:50;SHANNON (SNN);FR 3326;;"KRK"
2025-04-15;22:05;TEL AVIV (TLV);LY 5120;;"KRK"
2025-04-15;22:10;MANCHESTER (MAN);FR 2149;;"KRK"
2025-04-15;22:45;DUBLIN (DUB);FR 1902;;"KRK"
2025-04-15;23:10;MEDIOLAN MALPENSA (MXP);FR 4462;;"KRK"
2025-04-15;23:50;DUBAJ (DXB);FZ 1786;;"KRK"
2025-04-15;23:55;GDAŃSK (GDN);FR 237;;"KRK"
2025-04-16;05:30;BARCELONA (BCN);W6 2047;;"KRK"
2025-04-16;05:35;MALAGA (AGP);W6 2073;;"KRK"
2025-04-16;05:40;WARSZAWA (WAW);LO 3910;;"KRK"
2025-04-16;05:45;BIRMINGHAM (BHX);FR 1466;;"KRK"
2025-04-16;05:50;LONDYN STANSTED (STN);FR 2435;;"KRK"
2025-04-16;05:50;PALMA DE MALLORCA (PMI);FR 4512;;"KRK"
2025-04-16;05:50;ALICANTE (ALC);FR 6355;;"KRK"
2025-04-16;06:00;MONACHIUM (MUC);LH 1627;;"KRK"
2025-04-16;06:00;LONDYN LUTON (LTN);W6 2001;;"KRK"
2025-04-16;06:00;LYON (LYS);W6 2091;;"KRK"
2025-04-16;06:05;OSLO TORP (TRF);FR 6216;;"KRK"
2025-04-16;06:10;FRANKFURT (FRA);LH 1371;;"KRK"
2025-04-16;06:30;RIMINI (RMI);FR 2782;;"KRK"
2025-04-16;06:35;AMSTERDAM (AMS);KL 1322;;"KRK"
2025-04-16;06:40;ABERDEEN (ABZ);FR 8843;;"KRK"
2025-04-16;06:45;BRISTOL (BRS);FR 5519;;"KRK"
2025-04-16;06:45;WIEDEŃ (VIE);OS 600;;"KRK"
2025-04-16;06:50;LEEDS BRADFORD (LBA);FR 2333;;"KRK"
2025-04-16;07:00;STAMBUŁ (IST);LO 139;;"KRK"
2025-04-16;07:05;MEDIOLAN BERGAMO (BGY);FR 3536;;"KRK"
2025-04-16;07:20;GLASGOW (GLA);FR 4203;;"KRK"
2025-04-16;07:50;LONDYN STANSTED (STN);FR 2363;;"KRK"
2025-04-16;08:15;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
2025-04-16;08:50;RZYM CIAMPINO (CIA);FR 1469;;"KRK"
2025-04-16;08:50;WARSZAWA (WAW);LO 3904;;"KRK"
2025-04-16;08:55;HELSINKI (HEL);AY 1162;;"KRK"
2025-04-16;08:55;KOPENHAGA (CPH);FR 2763;;"KRK"
2025-04-16;09:05;PARYŻ BEAUVAIS (BVA);FR 3699;;"KRK"
2025-04-16;09:15;WALENCJA (VLC);FR 2229;;"KRK"
2025-04-16;09:25;ZURYCH (ZRH);LX 1371;;"KRK"
2025-04-16;09:40;STAMBUŁ (IST);TK 1272;;"KRK"
2025-04-16;09:45;BRUKSELA CHARLEROI (CRL);FR 4935;;"KRK"
2025-04-16;10:00;BERGEN (BGO);DY 1029;;"KRK"
2025-04-16;10:05;PARYŻ (CDG);EJU 4668;;"KRK"
2025-04-16;10:10;LONDYN LUTON (LTN);FR 1812;;"KRK"
2025-04-16;10:10;KOPENHAGA (CPH);SK 1736;;"KRK"
2025-04-16;10:20;TULUZA (TLS);FR 9949;;"KRK"
2025-04-16;10:45;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
2025-04-16;11:05;LONDYN GATWICK (LGW);EZY 8822;;"KRK"
2025-04-16;11:05;MEMMINGEN (FMM);FR 2174;;"KRK"
2025-04-16;11:15;FRANKFURT (FRA);LH 1363;;"KRK"
2025-04-16;11:20;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
2025-04-16;11:30;WIEDEŃ (VIE);FR 946;;"KRK"
2025-04-16;11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
2025-04-16;12:00;PARYŻ (CDG);AF 1879;;"KRK"
2025-04-16;12:00;LONDYN LUTON (LTN);W6 2003;;"KRK"
2025-04-16;12:15;CATANIA (CTA);FR 2726;;"KRK"
2025-04-16;12:15;WARSZAWA (WAW);LO 3908;;"KRK"
2025-04-16;12:25;OSLO GARDERMOEN (OSL);DY 1041;;"KRK"
2025-04-16;12:30;HELSINKI (HEL);AY 1166;;"KRK"
2025-04-16;12:35;WENECJA TREVISO (TSF);FR 3037;;"KRK"
2025-04-16;12:45;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
2025-04-16;12:50;DUBAJ (DXB);FZ 1788;;"KRK"
2025-04-16;12:50;EINDHOVEN (EIN);W6 2075;;"KRK"
2025-04-16;12:55;EINDHOVEN (EIN);FR 042;;"KRK"
2025-04-16;13:00;TENERIFE SOUTH (TFS);FR 2655;;"KRK"
2025-04-16;13:05;TIRANA (TIA);FR 8402;;"KRK"
2025-04-16;13:25;MONACHIUM (MUC);LH 1623;;"KRK"
2025-04-16;13:30;WARSZAWA (WAW);LO 3920;;"KRK"
2025-04-16;13:45;OLBIA (OLB);FR 6734;;"KRK"
2025-04-16;13:45;SHARJAH (SHJ);G9 731;;"KRK"
2025-04-16;13:55;ATENY (ATH);FR 2611;;"KRK"
2025-04-16;14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
2025-04-16;14:05;FRANKFURT (FRA);LH 1367;;"KRK"
2025-04-16;14:10;BRISTOL (BRS);EZY 2938;;"KRK"
2025-04-16;14:10;BURGAS (BOJ);FR 3716;;"KRK"
2025-04-16;14:35;WIEDEŃ (VIE);OS 598;;"KRK"
2025-04-16;14:55;PRAGA (PRG);FR 4070;;"KRK"
2025-04-16;14:55;WARSZAWA (WAW);LO 3906;;"KRK"
2025-04-16;15:05;GDAŃSK (GDN);FR 237;;"KRK"
2025-04-16;15:10;LARNAKA  (LCA);W6 2051;;"KRK"
2025-04-16;15:25;DUBLIN (DUB);FR 2024;;"KRK"
2025-04-16;15:25;BRUKSELA CHARLEROI (CRL);FR 5533;;"KRK"
2025-04-16;15:45;RZYM CIAMPINO (CIA);FR 083;;"KRK"
2025-04-16;16:10;PODGORICA (TGD);FR 7933;;"KRK"
2025-04-16;16:40;MONACHIUM (MUC);EN 8343;;"KRK"
2025-04-16;17:00;CHANIA (CHQ);FR 3051;;"KRK"
2025-04-16;17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
2025-04-16;17:30;MALTA (MLA);FR 7115;;"KRK"
2025-04-16;17:35;LIVERPOOL (LPL);FR 6359;;"KRK"
2025-04-16;17:50;NICEA (NCE);W6 2071;;"KRK"
2025-04-16;17:55;BARI (BRI);FR 2722;;"KRK"
2025-04-16;17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
2025-04-16;18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
2025-04-16;18:10;CAGLIARI (CAG);FR 4426;;"KRK"
2025-04-16;18:10;BRUKSELA (BRU);SN 2548;;"KRK"
2025-04-16;18:20;BARCELONA (BCN);FR 3036;;"KRK"
2025-04-16;18:25;WARSZAWA (WAW);LO 3924;;"KRK"
2025-04-16;18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
2025-04-16;18:45;PARYŻ BEAUVAIS (BVA);FR 3435;;"KRK"
2025-04-16;18:55;HELSINKI (HEL);AY 1164;;"KRK"
2025-04-16;19:05;FRANKFURT (FRA);LH 1369;;"KRK"
2025-04-16;19:15;OSLO TORP (TRF);FR 6310;;"KRK"
2025-04-16;19:50;SALONIKI (SKG);FR 2777;;"KRK"
2025-04-16;20:10;SHANNON (SNN);FR 3326;;"KRK"
2025-04-16;20:15;MEDIOLAN BERGAMO (BGY);FR 3505;;"KRK"
2025-04-16;20:25;LONDYN HEATHROW (LHR);BA 873;;"KRK"
2025-04-16;20:30;KOPENHAGA (CPH);FR 2724;;"KRK"
2025-04-16;20:30;BELGRAD (BEG);JU 159;;"KRK"
2025-04-16;20:35;PARYŻ (CDG);EJU 4670;;"KRK"
2025-04-16;21:10;SZTOKHOLM ARLANDA (ARN);FR 4636;;"KRK"
2025-04-16;21:20;MANCHESTER (MAN);EZY 2264;;"KRK"
2025-04-16;21:25;LONDYN STANSTED (STN);FR 2433;;"KRK"
2025-04-16;21:30;OSLO GARDERMOEN (OSL);DY 1043;;"KRK"
2025-04-16;21:45;MANCHESTER (MAN);RK 2142;;"KRK"
2025-04-16;21:55;EDYNBURG (EDI);FR 6625;;"KRK"
2025-04-16;22:05;TEL AVIV (TLV);LY 5120;;"KRK"
2025-04-16;22:10;BOLONIA (BLQ);FR 3799;;"KRK"
2025-04-16;23:05;DUBLIN (DUB);FR 1902;;"KRK"
